,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
3696,0.1,4,0.433333333,0.866666667,0.866666667,1,0.6,0.762408246,0.870340443,0.120698985,0.206045796,0.306867572,0.115306197,0.435796439,0.506037322,automl\Xgboost_AutoMl_3696
1970,0.055,4,0.433333333,0.866666667,0.866666667,1,1,0.756362165,0.870338854,0.123333415,0.141369936,0.171098166,0.117587353,0.339845596,0.419813157,automl\Xgboost_AutoMl_1970
1826,0.055,4,0.3,0.866666667,0.866666667,1,1,0.755809346,0.870285847,0.123471748,0.142579831,0.171538473,0.119412917,0.339057823,0.419003115,automl\Xgboost_AutoMl_1826
3977,0.1,4,0.7,0.866666667,0.733333333,1,1,0.768884193,0.870284883,0.120100979,0.16979012,0.244466253,0.1025816,0.429651804,0.495142987,automl\Xgboost_AutoMl_3977
2321,0.055,5,0.3,0.6,0.733333333,1,1,0.775520275,0.870279393,0.121610535,0.158035449,0.205130764,0.120359198,0.457538995,0.511447693,automl\Xgboost_AutoMl_2321
928,0.01,5,0.566666667,0.733333333,1,0.6,0.8,0.740678949,0.8702222,0.15685051,0.224859656,0.271360371,0.201609299,0.401134394,0.474203762,automl\Xgboost_AutoMl_928
929,0.01,5,0.566666667,0.733333333,1,0.6,1,0.743233104,0.870159711,0.152354229,0.217182173,0.255556602,0.197994958,0.404443044,0.472309108,automl\Xgboost_AutoMl_929
933,0.01,5,0.566666667,0.733333333,1,1,0.6,0.743233104,0.870159711,0.152354229,0.217182173,0.255556602,0.197994958,0.404443044,0.472309108,automl\Xgboost_AutoMl_933
5121,0.1,6,0.7,0.866666667,0.733333333,0.6,0.6,0.781773204,0.870144908,0.121142828,0.154322337,0.209298764,0.104843553,0.480069324,0.53241307,automl\Xgboost_AutoMl_5121
461,0.01,4,0.7,0.6,1,0.6,1,0.683571959,0.870093468,0.154797853,0.223353055,0.261080299,0.204489433,0.175831101,0.242345277,automl\Xgboost_AutoMl_461
465,0.01,4,0.7,0.6,1,1,0.6,0.683571959,0.870093468,0.154797853,0.223353055,0.261080299,0.204489433,0.175831101,0.242345277,automl\Xgboost_AutoMl_465
53,0.01,4,0.3,0.733333333,0.733333333,1,1,0.728178378,0.870086574,0.156864355,0.26246625,0.346830295,0.220284228,0.387427131,0.461957543,automl\Xgboost_AutoMl_53
197,0.01,4,0.433333333,0.733333333,0.733333333,1,1,0.728178378,0.870086574,0.156864355,0.26246625,0.346830295,0.220284228,0.387427131,0.461957543,automl\Xgboost_AutoMl_197
3332,0.055,6,0.7,0.6,0.866666667,0.6,1,0.789935123,0.870086137,0.12069712,0.129516213,0.182713479,0.086958401,0.488577281,0.539867688,automl\Xgboost_AutoMl_3332
3336,0.055,6,0.7,0.6,0.866666667,1,0.6,0.789935123,0.870086137,0.12069712,0.129516213,0.182713479,0.086958401,0.488577281,0.539867688,automl\Xgboost_AutoMl_3336
1998,0.055,4,0.433333333,1,0.866666667,0.6,0.6,0.776697976,0.870063591,0.121145562,0.131282314,0.184583789,0.088641133,0.42287695,0.489156187,automl\Xgboost_AutoMl_1998
1828,0.055,4,0.3,0.866666667,1,0.6,0.8,0.739005812,0.870050098,0.123022979,0.139822291,0.169868269,0.115785509,0.272097054,0.348818421,automl\Xgboost_AutoMl_1828
4248,0.1,5,0.433333333,0.866666667,0.6,0.6,0.6,0.775296984,0.870011563,0.12402602,0.178345559,0.264979976,0.109038026,0.496139909,0.53354795,automl\Xgboost_AutoMl_4248
4703,0.1,6,0.3,0.866666667,0.866666667,0.8,1,0.803086301,0.869998733,0.119844626,0.111976411,0.117719197,0.106233624,0.537891917,0.574167508,automl\Xgboost_AutoMl_4703
4705,0.1,6,0.3,0.866666667,0.866666667,1,0.8,0.803086301,0.869998733,0.119844626,0.111976411,0.117719197,0.106233624,0.537891917,0.574167508,automl\Xgboost_AutoMl_4705
2116,0.055,4,0.566666667,0.866666667,1,0.6,0.8,0.744950782,0.869984451,0.122741865,0.126671543,0.148687852,0.109058497,0.281550339,0.359232084,automl\Xgboost_AutoMl_2116
1854,0.055,4,0.3,1,0.866666667,0.6,0.6,0.776971021,0.869976536,0.121177623,0.130208677,0.181982018,0.088790004,0.423034504,0.48929385,automl\Xgboost_AutoMl_1854
2566,0.055,5,0.433333333,1,0.733333333,0.6,0.8,0.756766674,0.869976265,0.121700931,0.180488675,0.235948877,0.130574492,0.386954467,0.459280037,automl\Xgboost_AutoMl_2566
317,0.01,4,0.566666667,0.6,1,0.6,1,0.68469401,0.869966022,0.155080146,0.22305545,0.259090563,0.205037894,0.179927525,0.246945616,automl\Xgboost_AutoMl_317
321,0.01,4,0.566666667,0.6,1,1,0.6,0.68469401,0.869966022,0.155080146,0.22305545,0.259090563,0.205037894,0.179927525,0.246945616,automl\Xgboost_AutoMl_321
1027,0.01,5,0.7,0.6,0.866666667,0.6,0.8,0.72944797,0.869953594,0.15441145,0.270576863,0.307841264,0.251944663,0.395462423,0.472826599,automl\Xgboost_AutoMl_1027
4917,0.1,6,0.566666667,0.6,0.866666667,0.8,0.6,0.797163771,0.869951709,0.121378651,0.120165141,0.131775695,0.109715641,0.514258705,0.560247168,automl\Xgboost_AutoMl_4917
1073,0.01,5,0.7,0.733333333,1,0.6,1,0.742995959,0.869949633,0.152210421,0.216679714,0.254006094,0.198016524,0.402552387,0.470924339,automl\Xgboost_AutoMl_1073
1077,0.01,5,0.7,0.733333333,1,1,0.6,0.742995959,0.869949633,0.152210421,0.216679714,0.254006094,0.198016524,0.402552387,0.470924339,automl\Xgboost_AutoMl_1077
4620,0.1,6,0.3,0.6,0.733333333,0.8,0.6,0.792756305,0.869935142,0.122512716,0.1500059,0.203298823,0.096712976,0.544824326,0.573608692,automl\Xgboost_AutoMl_4620
666,0.01,5,0.3,0.866666667,0.866666667,0.6,0.6,0.707770654,0.869918595,0.155963499,0.254087659,0.340281433,0.210990772,0.289743186,0.37121518,automl\Xgboost_AutoMl_666
810,0.01,5,0.433333333,0.866666667,0.866666667,0.6,0.6,0.707770654,0.869918595,0.155963499,0.254087659,0.340281433,0.210990772,0.289743186,0.37121518,automl\Xgboost_AutoMl_810
2926,0.055,6,0.3,0.733333333,0.733333333,0.6,0.8,0.784749836,0.869890359,0.124331981,0.153996143,0.201062453,0.116343095,0.502284544,0.547437108,automl\Xgboost_AutoMl_2926
