,学习率,叶子节点数量,叶子节点最小样本数量,子采样率,特征采样率,最大深度,max_bin,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,15,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,24
382,0.95,9,12,0.7,0.5,5,60,0.883773109,0.937722682,0.094362484,0.112292643,0.058755139,0.129799614,0.858830944,0.771495294,automl\lightGBM_AutoMl2021_382,0.862452632,0.929328001,0.07620591,0.083560305,0.060436508,0.08810322,0.748543061,0.717047452,automl\lightGBM_AutoMl2023_382
424,0.95,9,12,0.8,0.5,5,60,0.883773109,0.937722682,0.094362484,0.112292643,0.058755139,0.129799614,0.858830944,0.771495294,automl\lightGBM_AutoMl2021_424,0.862452632,0.929328001,0.07620591,0.083560305,0.060436508,0.08810322,0.748543061,0.717047452,automl\lightGBM_AutoMl2023_424
466,0.95,9,12,1,0.5,5,60,0.883773109,0.937722682,0.094362484,0.112292643,0.058755139,0.129799614,0.858830944,0.771495294,automl\lightGBM_AutoMl2021_466,0.862452632,0.929328001,0.07620591,0.083560305,0.060436508,0.08810322,0.748543061,0.717047452,automl\lightGBM_AutoMl2023_466
7426,0.125,9,19,0.6,0.3,8,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7426,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7426
7429,0.125,9,19,0.6,0.3,9,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7429,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7429
7432,0.125,9,19,0.6,0.3,11,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7432,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7432
7468,0.125,9,19,0.7,0.3,8,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7468,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7468
7471,0.125,9,19,0.7,0.3,9,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7471,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7471
7474,0.125,9,19,0.7,0.3,11,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7474,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7474
7510,0.125,9,19,0.8,0.3,8,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7510,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7510
7513,0.125,9,19,0.8,0.3,9,60,0.882979497,0.944017194,0.098832619,0.145889262,0.098740448,0.161141953,0.892232551,0.805089565,automl\lightGBM_AutoMl2021_7513,0.837163401,0.921700232,0.10166784,0.165872809,0.113391105,0.175093845,0.739261817,0.742950108,automl\lightGBM_AutoMl2023_7513
