,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,16
2050,0.2,6,0.8,0.5,1,1,0.8,0.804810111,0.880962246,0.105874709,0.085857069,0.09872579,0.08285785,0.630145719,0.608210267,automl\Xgboost_AutoMl_2050
1322,0.1,6,0.8,0.5,1,1,1,0.816109754,0.905862036,0.096341588,0.069390032,0.046395216,0.074049026,0.594717668,0.608205654,automl\Xgboost_AutoMl_1322
1737,0.2,5,0.5,0.8,0.8,0.5,0.5,0.800826086,0.874400186,0.111096541,0.100953727,0.077884615,0.105972162,0.612295082,0.608196128,automl\Xgboost_AutoMl_1737
2015,0.2,6,0.5,1,0.8,1,1,0.797737092,0.872385127,0.113480176,0.10549035,0.140827972,0.096117905,0.665664845,0.608171077,automl\Xgboost_AutoMl_2015
2102,0.2,6,0.8,1,1,0.8,1,0.797984121,0.868458281,0.111858089,0.097489644,0.105096294,0.095742927,0.625956284,0.607934191,automl\Xgboost_AutoMl_2102
2104,0.2,6,0.8,1,1,1,0.8,0.797984121,0.868458281,0.111858089,0.097489644,0.105096294,0.095742927,0.625956284,0.607934191,automl\Xgboost_AutoMl_2104
2101,0.2,6,0.8,1,1,0.8,0.8,0.798308079,0.878545591,0.11416797,0.119492791,0.125301019,0.117967198,0.662477231,0.607787433,automl\Xgboost_AutoMl_2101
2065,0.2,6,0.8,0.8,0.8,0.8,0.8,0.800335436,0.885940568,0.111582789,0.113267076,0.132582594,0.108134171,0.66575592,0.607748587,automl\Xgboost_AutoMl_2065
1427,0.1,6,1.1,0.8,1,0.8,1,0.803814313,0.882642462,0.107458713,0.094093799,0.067899545,0.099577193,0.602094718,0.607600754,automl\Xgboost_AutoMl_1427
1429,0.1,6,1.1,0.8,1,1,0.8,0.803814313,0.882642462,0.107458713,0.094093799,0.067899545,0.099577193,0.602094718,0.607600754,automl\Xgboost_AutoMl_1429
320,0.075,5,0.5,1,1,0.8,1,0.80443281,0.869901958,0.10708331,0.086511352,0.043537565,0.094936435,0.586247723,0.607579404,automl\Xgboost_AutoMl_320
322,0.075,5,0.5,1,1,1,0.8,0.80443281,0.869901958,0.10708331,0.086511352,0.043537565,0.094936435,0.586247723,0.607579404,automl\Xgboost_AutoMl_322
1237,0.1,6,0.5,0.5,1,0.8,0.8,0.798155817,0.877303124,0.11698711,0.126921904,0.103270042,0.132897066,0.651275046,0.607535789,automl\Xgboost_AutoMl_1237
734,0.1,4,0.5,0.5,0.5,0.8,1,0.790393539,0.894247993,0.107010038,0.116105777,0.108498095,0.11751108,0.572313297,0.607413851,automl\Xgboost_AutoMl_734
736,0.1,4,0.5,0.5,0.5,1,0.8,0.790393539,0.894247993,0.107010038,0.116105777,0.108498095,0.11751108,0.572313297,0.607413851,automl\Xgboost_AutoMl_736
1037,0.1,5,0.5,1,0.8,0.5,1,0.800907361,0.876848052,0.121207728,0.132971003,0.113102755,0.138698134,0.688797814,0.607079788,automl\Xgboost_AutoMl_1037
1041,0.1,5,0.5,1,0.8,1,0.5,0.800907361,0.876848052,0.121207728,0.132971003,0.113102755,0.138698134,0.688797814,0.607079788,automl\Xgboost_AutoMl_1041
1821,0.2,5,0.8,0.8,0.8,0.8,0.5,0.806133159,0.886570002,0.11459432,0.121873093,0.132148171,0.118674071,0.712021858,0.60682268,automl\Xgboost_AutoMl_1821
901,0.1,4,1.1,0.5,0.8,0.5,0.8,0.791636642,0.910935252,0.09769434,0.107956552,0.122591916,0.105386938,0.560382514,0.606744897,automl\Xgboost_AutoMl_901
1229,0.1,6,0.5,0.5,0.8,0.8,1,0.805290187,0.888889115,0.11040159,0.108314601,0.07336818,0.116454193,0.628324226,0.606612152,automl\Xgboost_AutoMl_1229
1231,0.1,6,0.5,0.5,0.8,1,0.8,0.805290187,0.888889115,0.11040159,0.108314601,0.07336818,0.116454193,0.628324226,0.606612152,automl\Xgboost_AutoMl_1231
