,学习率,最大树深度,最小采样叶子节点,样本采样率,最大叶子节点,评分,AUC,MSE,拟合曲线偏差度,正偏差度,负偏差度,recall,f1,13
1233,0.1,4,6,0.7,12,0.851662454,0.923137261,0.105353401,0.14595469,0.106048041,0.158763176,0.838797814,0.70539578,automl\GBM_AutoMl_1233
568,0.0625,8,5,1,13,0.851658428,0.924415595,0.093834059,0.120766835,0.053993454,0.136314555,0.739799636,0.714329684,automl\GBM_AutoMl_568
1292,0.1,5,6,0.6,14,0.851592124,0.922043717,0.101860155,0.131762789,0.10916226,0.138894346,0.828415301,0.701878931,automl\GBM_AutoMl_1292
930,0.0875,4,6,0.6,12,0.851555651,0.91767526,0.101165083,0.11895652,0.043917007,0.13822289,0.75564663,0.700050624,automl\GBM_AutoMl_930
852,0.075,8,4,1,12,0.851529033,0.919986589,0.099403393,0.120375871,0.055263255,0.138564283,0.773315118,0.690915009,automl\GBM_AutoMl_852
1443,0.1,8,4,0.7,12,0.851506173,0.921064292,0.108753015,0.147883016,0.094256135,0.166063789,0.845081967,0.693782945,automl\GBM_AutoMl_1443
305,0.0625,4,4,0.7,14,0.851442573,0.914077228,0.108488008,0.136747375,0.060229239,0.158673828,0.796357013,0.70368582,automl\GBM_AutoMl_305
1322,0.1,6,4,0.6,14,0.851421585,0.91900925,0.103719635,0.138315244,0.092136229,0.152801097,0.823861566,0.6998298,automl\GBM_AutoMl_1322
1224,0.1,4,5,0.9,12,0.851363217,0.920626199,0.105503047,0.132466042,0.110197618,0.140027746,0.843624772,0.692095039,automl\GBM_AutoMl_1224
1070,0.0875,6,7,0.7,14,0.851336868,0.922225123,0.101867261,0.137599949,0.100003306,0.14965964,0.828415301,0.696851299,automl\GBM_AutoMl_1070
508,0.0625,7,5,1,13,0.851225736,0.924683175,0.089530073,0.100651874,0.053609914,0.110894303,0.71575592,0.71070718,automl\GBM_AutoMl_508
